Event Name,Description,Category,30 Day Volume,30 Day Queries,Platforms,Libraries,First Seen,Last Seen,Properties
,,,,,,,,,name
,,,,,,,,,origin
,,,,,,,,,panel
,,,,,,,,,panelHeader
,,,,,,,,,preSelected
,,,,,,,,,price
,,,,,,,,,shortDescription
,,,,,,,,,state
,,,,,,,,,suggestedRetailPrice
,,,,,,,,,suggestedRetailPricePretax
,,,,,,,,,termMiles
,,,,,,,,,termMonths
,,,,,,,,,trackId
,,,,,,,,,userSelected
,,,,,,,,,vendor
,,,,,,,,,vendorRaw.DealerCost
,,,,,,,,,vendorRaw.Deductible
,,,,,,,,,vendorRaw.EX1RateResponseID
,,,,,,,,,vendorRaw.FinanceAmount
,,,,,,,,,vendorRaw.FinanceRate
,,,,,,,,,vendorRaw.FinanceTerm
,,,,,,,,,vendorRaw.Form
,,,,,,,,,vendorRaw.PlanID
,,,,,,,,,vendorRaw.PlanName
,,,,,,,,,vendorRaw.ProductCode
,,,,,,,,,vendorRaw.SuggestedRetailPrice
,,,,,,,,,vendorRaw.TermMiles
,,,,,,,,,vendorRaw.TermMonths
,,,,,,,,,vin
App: products: tire care: click: Edge Plus Tire & Wheel Protection,,,0,0,Web,http/1.0,2017-09-19T21:29:46.015000+00:00,2017-11-02T16:33:56.642000+00:00,appType
,,,,,,,,,buyNowVia
,,,,,,,,,category
,,,,,,,,,checkoutScraperVersion
,,,,,,,,,checkoutUiVersion
,,,,,,,,,dealer
,,,,,,,,,defaultTab
,,,,,,,,,fullDescription
,,,,,,,,,inStore
,,,,,,,,,isTestUser
,,,,,,,,,loanAppId
,,,,,,,,,marketingUrl
,,,,,,,,,name
,,,,,,,,,origin
,,,,,,,,,panel
,,,,,,,,,panelHeader
,,,,,,,,,preSelected
,,,,,,,,,price
,,,,,,,,,shortDescription
,,,,,,,,,state
,,,,,,,,,suggestedRetailPrice
,,,,,,,,,suggestedRetailPricePretax
,,,,,,,,,termMiles
,,,,,,,,,termMonths
,,,,,,,,,trackId
,,,,,,,,,userSelected
,,,,,,,,,vendor
,,,,,,,,,vin
App: products: tire care: click: Edge Plus Tire & Wheel Protection none,,,0,0,Web,http/1.0,2017-10-16T21:55:37.038000+00:00,2017-10-26T17:30:31.289000+00:00,appType
,,,,,,,,,buyNowVia
,,,,,,,,,category
,,,,,,,,,checkoutScraperVersion
,,,,,,,,,checkoutUiVersion
,,,,,,,,,dealer
,,,,,,,,,defaultTab
,,,,,,,,,fullDescription
,,,,,,,,,inStore
,,,,,,,,,isTestUser
,,,,,,,,,loanAppId
,,,,,,,,,marketingUrl
,,,,,,,,,name
,,,,,,,,,origin
,,,,,,,,,panel
,,,,,,,,,panelHeader
,,,,,,,,,preSelected
,,,,,,,,,price
,,,,,,,,,shortDescription
,,,,,,,,,state
,,,,,,,,,suggestedRetailPrice
,,,,,,,,,suggestedRetailPricePretax
,,,,,,,,,termMiles
,,,,,,,,,termMonths
,,,,,,,,,trackId
,,,,,,,,,userSelected
,,,,,,,,,vendor
,,,,,,,,,vin
App: products: tire care: click: IAS Tire and Wheel none,,,2,0,Web,http/1.0,2017-12-15T18:13:53.416000+00:00,2018-02-23T19:27:49.415586+00:00,appType
,,,,,,,,,buyNowVia
,,,,,,,,,category
,,,,,,,,,checkoutScraperVersion
,,,,,,,,,checkoutUiVersion
,,,,,,,,,consumerFlowVersion
,,,,,,,,,dealer
,,,,,,,,,defaultTab
,,,,,,,,,fullDescription
,,,,,,,,,inStore
,,,,,,,,,isTestUser
,,,,,,,,,loanAppId
,,,,,,,,,marketingUrl
,,,,,,,,,name
,,,,,,,,,origin
,,,,,,,,,panel
,,,,,,,,,panelHeader
,,,,,,,,,preSelected
,,,,,,,,,price
,,,,,,,,,shortDescription
,,,,,,,,,state
,,,,,,,,,suggestedRetailPrice
,,,,,,,,,suggestedRetailPricePretax
,,,,,,,,,termMiles
,,,,,,,,,termMonths
,,,,,,,,,trackId
,,,,,,,,,userSelected
,,,,,,,,,vehicleAge
,,,,,,,,,vendor
,,,,,,,,,vin
App: products: tire care: click: Road Hazard Tire & Wheel Protection,,,0,0,Web,"amplitude-js/3.4.0, http/1.0",2017-06-06T00:00:00+00:00,2017-12-07T16:16:07.864000+00:00,appType
,,,,,,,,,buyNowVia
,,,,,,,,,category
,,,,,,,,,checkoutScraperVersion
,,,,,,,,,checkoutUiVersion
,,,,,,,,,consumerFlowVersion
,,,,,,,,,dealer
,,,,,,,,,defaultTab
,,,,,,,,,fullDescription
,,,,,,,,,inStore
,,,,,,,,,isTestUser
,,,,,,,,,loanAppId
,,,,,,,,,marketingUrl
,,,,,,,,,name
,,,,,,,,,origin
,,,,,,,,,panel
,,,,,,,,,panelHeader
,,,,,,,,,preSelected
,,,,,,,,,price
,,,,,,,,,shortDescription
,,,,,,,,,state
,,,,,,,,,suggestedRetailPrice
,,,,,,,,,suggestedRetailPricePretax
,,,,,,,,,termMiles
,,,,,,,,,termMonths
,,,,,,,,,trackId
,,,,,,,,,userSelected
,,,,,,,,,vendor
,,,,,,,,,vendorRaw.DealerCost
,,,,,,,,,vendorRaw.Deductible
,,,,,,,,,vendorRaw.EX1RateResponseID
,,,,,,,,,vendorRaw.FinanceAmount
,,,,,,,,,vendorRaw.FinanceRate
,,,,,,,,,vendorRaw.FinanceTerm
,,,,,,,,,vendorRaw.Form
,,,,,,,,,vendorRaw.PlanID
,,,,,,,,,vendorRaw.PlanName
,,,,,,,,,vendorRaw.ProductCode
,,,,,,,,,vendorRaw.SuggestedRetailPrice
,,,,,,,,,vendorRaw.TermMiles
,,,,,,,,,vendorRaw.TermMonths
,,,,,,,,,vin
App: products: tire care: click: Road Hazard Tire & Wheel Protection none,,,0,0,Web,"amplitude-js/3.4.0, http/1.0",2017-06-06T00:00:00+00:00,2018-01-27T03:10:36.321000+00:00,appType
,,,,,,,,,buyNowVia
,,,,,,,,,category
,,,,,,,,,checkoutScraperVersion
,,,,,,,,,checkoutUiVersion
,,,,,,,,,consumerFlowVersion
,,,,,,,,,dealer
,,,,,,,,,defaultTab
,,,,,,,,,fullDescription
,,,,,,,,,inStore
,,,,,,,,,isTestUser
,,,,,,,,,loanAppId
,,,,,,,,,marketingUrl
,,,,,,,,,name
,,,,,,,,,origin
,,,,,,,,,panel
,,,,,,,,,panelHeader
,,,,,,,,,preSelected
,,,,,,,,,price
,,,,,,,,,shortDescription
,,,,,,,,,state
,,,,,,,,,suggestedRetailPrice
,,,,,,,,,suggestedRetailPricePretax
,,,,,,,,,termMiles
,,,,,,,,,termMonths
,,,,,,,,,trackId
,,,,,,,,,userSelected
,,,,,,,,,vendor
,,,,,,,,,vendorRaw.DealerCost
,,,,,,,,,vendorRaw.Deductible
,,,,,,,,,vendorRaw.EX1RateResponseID
,,,,,,,,,vendorRaw.FinanceAmount
,,,,,,,,,vendorRaw.FinanceRate
,,,,,,,,,vendorRaw.FinanceTerm
,,,,,,,,,vendorRaw.Form
,,,,,,,,,vendorRaw.PlanID
,,,,,,,,,vendorRaw.PlanName
,,,,,,,,,vendorRaw.ProductCode
,,,,,,,,,vendorRaw.SuggestedRetailPrice
,,,,,,,,,vendorRaw.TermMiles
,,,,,,,,,vendorRaw.TermMonths
,,,,,,,,,vin
App: products: tire care: click: Tire & Wheel,,,0,0,Web,http/1.0,2017-08-07T00:00:00+00:00,2017-10-05T16:55:06.638000+00:00,appType
,,,,,,,,,buyNowVia
,,,,,,,,,category
,,,,,,,,,checkoutScraperVersion
,,,,,,,,,checkoutUiVersion
,,,,,,,,,dealer
,,,,,,,,,defaultTab
,,,,,,,,,fullDescription
,,,,,,,,,inStore
,,,,,,,,,isTestUser
,,,,,,,,,loanAppId
,,,,,,,,,marketingUrl
,,,,,,,,,name
,,,,,,,,,noProductSelected
,,,,,,,,,origin
,,,,,,,,,panel
,,,,,,,,,panelHeader
,,,,,,,,,preSelected
,,,,,,,,,price
,,,,,,,,,shortDescription
,,,,,,,,,state
,,,,,,,,,suggestedRetailPrice
,,,,,,,,,suggestedRetailPricePretax
,,,,,,,,,termMiles
,,,,,,,,,termMonths
,,,,,,,,,trackId
,,,,,,,,,userSelected
,,,,,,,,,vendor
,,,,,,,,,vin
App: products: tire care: click: Tire & Wheel Program none,,,4,0,Web,http/1.0,2018-02-06T16:25:56.836000+00:00,2018-02-12T03:39:31.094000+00:00,appType
,,,,,,,,,buyNowVia
,,,,,,,,,category
,,,,,,,,,checkoutScraperVersion
,,,,,,,,,checkoutUiVersion
,,,,,,,,,consumerFlowVersion
,,,,,,,,,dealer
,,,,,,,,,defaultTab
,,,,,,,,,fullDescription
,,,,,,,,,inStore
,,,,,,,,,isTestUser
,,,,,,,,,loanAppId
,,,,,,,,,marketingUrl
,,,,,,,,,name
,,,,,,,,,origin
,,,,,,,,,panel
,,,,,,,,,panelHeader
,,,,,,,,,preSelected
,,,,,,,,,price
,,,,,,,,,shortDescription
,,,,,,,,,state
,,,,,,,,,suggestedRetailPrice
,,,,,,,,,suggestedRetailPricePretax
,,,,,,,,,termMiles
,,,,,,,,,termMonths
,,,,,,,,,trackId
,,,,,,,,,userSelected
,,,,,,,,,vendor
,,,,,,,,,vin
App: products: tire care: click: Tire & Wheel Protection,,,0,0,Web,http/1.0,2017-09-15T19:54:45.804000+00:00,2017-09-22T14:46:35.269000+00:00,appType
,,,,,,,,,buyNowVia
,,,,,,,,,category
,,,,,,,,,checkoutScraperVersion
,,,,,,,,,checkoutUiVersion
,,,,,,,,,dealer
,,,,,,,,,defaultTab
,,,,,,,,,fullDescription
,,,,,,,,,inStore
,,,,,,,,,isTestUser
,,,,,,,,,loanAppId
,,,,,,,,,marketingUrl
,,,,,,,,,name
,,,,,,,,,origin
,,,,,,,,,panel
,,,,,,,,,panelHeader
,,,,,,,,,preSelected
,,,,,,,,,price
,,,,,,,,,shortDescription
,,,,,,,,,state
,,,,,,,,,suggestedRetailPrice
,,,,,,,,,suggestedRetailPricePretax
,,,,,,,,,termMiles
,,,,,,,,,termMonths
,,,,,,,,,trackId
,,,,,,,,,userSelected
,,,,,,,,,vendor
,,,,,,,,,vin
App: products: tire care: click: Tire & Wheel Protection Plan,,,0,0,Web,http/1.0,2017-11-07T21:59:51.663000+00:00,2017-11-07T21:59:51.663000+00:00,appType
,,,,,,,,,buyNowVia
,,,,,,,,,category
,,,,,,,,,checkoutScraperVersion
,,,,,,,,,checkoutUiVersion
,,,,,,,,,dealer
,,,,,,,,,defaultTab
,,,,,,,,,fullDescription
,,,,,,,,,inStore
,,,,,,,,,isTestUser
,,,,,,,,,loanAppId
,,,,,,,,,marketingUrl
,,,,,,,,,name
,,,,,,,,,origin
,,,,,,,,,panel
,,,,,,,,,panelHeader
,,,,,,,,,preSelected
,,,,,,,,,price
,,,,,,,,,shortDescription
,,,,,,,,,state
,,,,,,,,,suggestedRetailPrice
,,,,,,,,,suggestedRetailPricePretax
,,,,,,,,,termMiles
,,,,,,,,,termMonths
,,,,,,,,,trackId
,,,,,,,,,userSelected
,,,,,,,,,vendor
,,,,,,,,,vin
App: products: tire care: click: Tire & Wheel Protection none,,,2,0,Web,http/1.0,2017-07-07T00:00:00+00:00,2018-02-17T17:26:55.998986+00:00,abTestGroup
,,,,,,,,,appType
,,,,,,,,,buyNowVia
,,,,,,,,,category
,,,,,,,,,checkoutScraperVersion
,,,,,,,,,checkoutUiVersion
,,,,,,,,,consumerFlowVersion
,,,,,,,,,dealer
,,,,,,,,,defaultTab
,,,,,,,,,fullDescription
,,,,,,,,,inStore
,,,,,,,,,isTestUser
,,,,,,,,,loanAppId
,,,,,,,,,marketingUrl
,,,,,,,,,name
,,,,,,,,,origin
,,,,,,,,,panel
,,,,,,,,,panelHeader
,,,,,,,,,preSelected
,,,,,,,,,price
,,,,,,,,,shortDescription
,,,,,,,,,state
,,,,,,,,,suggestedRetailPrice
,,,,,,,,,suggestedRetailPricePretax
,,,,,,,,,termMiles
,,,,,,,,,termMonths
,,,,,,,,,trackId
,,,,,,,,,userSelected
,,,,,,,,,vendor
,,,,,,,,,vin
App: products: tire care: click: Tire & Wheel none,,,0,0,Web,http/1.0,2017-08-07T00:00:00+00:00,2017-10-05T14:32:12.424000+00:00,appType
,,,,,,,,,buyNowVia
,,,,,,,,,category
,,,,,,,,,checkoutScraperVersion
,,,,,,,,,checkoutUiVersion
,,,,,,,,,dealer
,,,,,,,,,defaultTab
,,,,,,,,,fullDescription
,,,,,,,,,inStore
,,,,,,,,,isTestUser
,,,,,,,,,loanAppId
,,,,,,,,,marketingUrl
,,,,,,,,,name
,,,,,,,,,origin
,,,,,,,,,panel
,,,,,,,,,panelHeader
,,,,,,,,,preSelected
,,,,,,,,,price
,,,,,,,,,shortDescription
,,,,,,,,,state
,,,,,,,,,suggestedRetailPrice
,,,,,,,,,suggestedRetailPricePretax
,,,,,,,,,termMiles
,,,,,,,,,termMonths
,,,,,,,,,trackId
,,,,,,,,,userSelected
,,,,,,,,,vendor
,,,,,,,,,vin
App: products: tire care: click: Tire and Wheel,,,0,0,Web,http/1.0,2017-11-16T00:59:13.722000+00:00,2017-11-16T00:59:13.722000+00:00,appType
,,,,,,,,,buyNowVia
,,,,,,,,,category
,,,,,,,,,checkoutScraperVersion
,,,,,,,,,checkoutUiVersion
,,,,,,,,,dealer
,,,,,,,,,defaultTab
,,,,,,,,,fullDescription
,,,,,,,,,inStore
,,,,,,,,,isTestUser
,,,,,,,,,loanAppId
,,,,,,,,,marketingUrl
,,,,,,,,,name
,,,,,,,,,origin
,,,,,,,,,panel
,,,,,,,,,panelHeader
,,,,,,,,,preSelected
,,,,,,,,,price
,,,,,,,,,shortDescription
,,,,,,,,,state
,,,,,,,,,suggestedRetailPrice
,,,,,,,,,suggestedRetailPricePretax
,,,,,,,,,termMiles
,,,,,,,,,termMonths
,,,,,,,,,trackId
,,,,,,,,,userSelected
,,,,,,,,,vendor
,,,,,,,,,vin
App: products: tire care: click: Tire and Wheel none,,,0,0,Web,http/1.0,2017-11-16T01:11:45.302000+00:00,2017-12-19T19:42:04.184000+00:00,appType
,,,,,,,,,buyNowVia
,,,,,,,,,category
,,,,,,,,,checkoutScraperVersion
,,,,,,,,,checkoutUiVersion
,,,,,,,,,consumerFlowVersion
,,,,,,,,,dealer
,,,,,,,,,defaultTab
,,,,,,,,,fullDescription
,,,,,,,,,inStore
,,,,,,,,,isTestUser
,,,,,,,,,loanAppId
,,,,,,,,,marketingUrl
,,,,,,,,,name
,,,,,,,,,origin
,,,,,,,,,panel
,,,,,,,,,panelHeader
,,,,,,,,,preSelected
,,,,,,,,,price
,,,,,,,,,shortDescription
,,,,,,,,,state
,,,,,,,,,suggestedRetailPrice
,,,,,,,,,suggestedRetailPricePretax
,,,,,,,,,termMiles
,,,,,,,,,termMonths
,,,,,,,,,trackId
,,,,,,,,,userSelected
,,,,,,,,,vendor
,,,,,,,,,vin
App: products: tire care: click: TireCARE,,,0,0,Web,"amplitude-js/3.4.0, http/1.0",2017-05-06T00:00:00+00:00,2017-12-01T23:56:28.924000+00:00,abTestGroup
,,,,,,,,,appType
,,,,,,,,,buyNowVia
,,,,,,,,,category
,,,,,,,,,checkoutScraperVersion
,,,,,,,,,checkoutUiVersion
,,,,,,,,,dealer
,,,,,,,,,defaultTab
,,,,,,,,,finePrintText
,,,,,,,,,fullDescription
,,,,,,,,,inStore
,,,,,,,,,isTestUser
,,,,,,,,,loanAppId
,,,,,,,,,marketingUrl
,,,,,,,,,name
,,,,,,,,,noProductSelected
,,,,,,,,,origin
,,,,,,,,,panel
,,,,,,,,,panelHeader
,,,,,,,,,preSelected
,,,,,,,,,price
,,,,,,,,,sampleContractUrl
,,,,,,,,,shortDescription
,,,,,,,,,state
,,,,,,,,,suggestedRetailPrice
,,,,,,,,,suggestedRetailPricePretax
,,,,,,,,,termMiles
,,,,,,,,,termMonths
,,,,,,,,,trackId
,,,,,,,,,userSelected
,,,,,,,,,vendor
,,,,,,,,,vin
App: products: tire care: click: TireCARE none,,,3,0,Web,"amplitude-js/3.4.0, http/1.0",2017-05-06T00:00:00+00:00,2018-01-29T18:51:22.236000+00:00,abTestGroup
,,,,,,,,,appType
,,,,,,,,,buyNowVia
,,,,,,,,,category
,,,,,,,,,checkoutScraperVersion
,,,,,,,,,checkoutUiVersion
,,,,,,,,,consumerFlowVersion
,,,,,,,,,dealer
,,,,,,,,,defaultTab
,,,,,,,,,fullDescription
,,,,,,,,,inStore
,,,,,,,,,isTestUser
,,,,,,,,,loanAppId
,,,,,,,,,marketingUrl
,,,,,,,,,name
,,,,,,,,,origin
,,,,,,,,,panel
,,,,,,,,,panelHeader
,,,,,,,,,preSelected
,,,,,,,,,price
,,,,,,,,,shortDescription
,,,,,,,,,state
,,,,,,,,,suggestedRetailPrice
,,,,,,,,,suggestedRetailPricePretax
,,,,,,,,,termMiles
,,,,,,,,,termMonths
,,,,,,,,,trackId
,,,,,,,,,userSelected
,,,,,,,,,vendor
,,,,,,,,,vin
App: products: tire care: click: continue,,,10,0,Web,"amplitude-js/3.4.0, http/1.0",2017-05-06T00:00:00+00:00,2018-02-23T19:27:50.613427+00:00,abTestGroup
,,,,,,,,,appType
,,,,,,,,,buyNowVia
,,,,,,,,,checkoutScraperVersion
,,,,,,,,,checkoutUiVersion
,,,,,,,,,consumerFlowVersion
,,,,,,,,,dealer
,,,,,,,,,defaultTab
,,,,,,,,,inStore
,,,,,,,,,isTestUser
,,,,,,,,,loanAppId
,,,,,,,,,panel
,,,,,,,,,panelHeader
,,,,,,,,,price
,,,,,,,,,state
,,,,,,,,,trackId
,,,,,,,,,vehicleAge
,,,,,,,,,vin
App: products: tire care: exit: browser,,,0,0,Web,http/1.0,2017-12-05T13:15:23.098000+00:00,2017-12-05T13:15:23.098000+00:00,appType
,,,,,,,,,buyNowVia
,,,,,,,,,checkoutScraperVersion
,,,,,,,,,checkoutUiVersion
,,,,,,,,,consumerFlowVersion
,,,,,,,,,dealer
,,,,,,,,,defaultTab
,,,,,,,,,inStore
,,,,,,,,,isTestUser
,,,,,,,,,loanAppId
,,,,,,,,,panel
,,,,,,,,,panelHeader
,,,,,,,,,price
,,,,,,,,,state
,,,,,,,,,trackId
,,,,,,,,,vin
App: products: tire wheel: back,,,0,0,Web,amplitude-js/3.4.0,2017-05-06T00:00:00+00:00,2017-06-05T00:00:00+00:00,appType
,,,,,,,,,buyNowVia
,,,,,,,,,checkoutScraperVersion
,,,,,,,,,checkoutUiVersion
,,,,,,,,,dealer
,,,,,,,,,defaultTab
,,,,,,,,,inStore
,,,,,,,,,isTestUser
,,,,,,,,,loanAppId
,,,,,,,,,panel
,,,,,,,,,panelHeader
,,,,,,,,,price
,,,,,,,,,state
,,,,,,,,,trackId
,,,,,,,,,vin
App: products: tire wheel: click: Tire & Wheel Protection,,,0,0,Web,amplitude-js/3.4.0,2017-05-06T00:00:00+00:00,2017-06-05T00:00:00+00:00,appType
,,,,,,,,,buyNowVia
,,,,,,,,,category
,,,,,,,,,checkoutScraperVersion
,,,,,,,,,checkoutUiVersion
,,,,,,,,,dealer
,,,,,,,,,defaultTab
,,,,,,,,,fullDescription
,,,,,,,,,inStore
,,,,,,,,,isTestUser
,,,,,,,,,loanAppId
,,,,,,,,,marketingUrl
,,,,,,,,,name
,,,,,,,,,noProductSelected
,,,,,,,,,origin
,,,,,,,,,panel
,,,,,,,,,panelHeader
,,,,,,,,,preSelected
,,,,,,,,,price
,,,,,,,,,shortDescription
,,,,,,,,,state
,,,,,,,,,suggestedRetailPrice
,,,,,,,,,suggestedRetailPricePretax
,,,,,,,,,termMiles
,,,,,,,,,termMonths
,,,,,,,,,trackId
,,,,,,,,,userSelected
,,,,,,,,,vendor
,,,,,,,,,vin
App: products: tire wheel: click: Tire & Wheel Protection none,,,0,0,Web,amplitude-js/3.4.0,2017-05-06T00:00:00+00:00,2017-06-05T00:00:00+00:00,appType
,,,,,,,,,buyNowVia
,,,,,,,,,category
,,,,,,,,,checkoutScraperVersion
,,,,,,,,,checkoutUiVersion
,,,,,,,,,dealer
,,,,,,,,,defaultTab
,,,,,,,,,fullDescription
,,,,,,,,,inStore
,,,,,,,,,isTestUser
,,,,,,,,,loanAppId
,,,,,,,,,marketingUrl
,,,,,,,,,name
,,,,,,,,,noProductSelected
,,,,,,,,,origin
,,,,,,,,,panel
,,,,,,,,,panelHeader
,,,,,,,,,preSelected
,,,,,,,,,price
,,,,,,,,,shortDescription
,,,,,,,,,state
,,,,,,,,,suggestedRetailPrice
,,,,,,,,,suggestedRetailPricePretax
,,,,,,,,,termMiles
,,,,,,,,,termMonths
,,,,,,,,,trackId
,,,,,,,,,userSelected
,,,,,,,,,vendor
,,,,,,,,,vin
App: products: tire wheel: click: continue,,,0,0,Web,amplitude-js/3.4.0,2017-05-06T00:00:00+00:00,2017-06-05T00:00:00+00:00,appType
,,,,,,,,,buyNowVia
,,,,,,,,,checkoutScraperVersion
,,,,,,,,,checkoutUiVersion
,,,,,,,,,dealer
,,,,,,,,,defaultTab
,,,,,,,,,inStore
,,,,,,,,,isTestUser
,,,,,,,,,loanAppId
,,,,,,,,,panel
,,,,,,,,,panelHeader
,,,,,,,,,price
,,,,,,,,,state
,,,,,,,,,trackId
,,,,,,,,,vin
App: products: triple care: back,,,0,0,Web,amplitude-js/3.4.0,2017-06-06T00:00:00+00:00,2017-07-06T00:00:00+00:00,appType
,,,,,,,,,buyNowVia
,,,,,,,,,checkoutScraperVersion
,,,,,,,,,checkoutUiVersion
,,,,,,,,,dealer
,,,,,,,,,defaultTab
,,,,,,,,,inStore
,,,,,,,,,isTestUser
,,,,,,,,,loanAppId
,,,,,,,,,panel
,,,,,,,,,panelHeader
,,,,,,,,,price
,,,,,,,,,state
,,,,,,,,,trackId
,,,,,,,,,vin
App: products: triple care: click: TripleCARE,,,0,0,Web,amplitude-js/3.4.0,2017-05-06T00:00:00+00:00,2017-06-05T00:00:00+00:00,appType
,,,,,,,,,buyNowVia
,,,,,,,,,category
,,,,,,,,,checkoutScraperVersion
,,,,,,,,,checkoutUiVersion
,,,,,,,,,dealer
,,,,,,,,,defaultTab
,,,,,,,,,fullDescription
,,,,,,,,,inStore
,,,,,,,,,isTestUser
,,,,,,,,,loanAppId
,,,,,,,,,marketingUrl
,,,,,,,,,name
,,,,,,,,,origin
,,,,,,,,,panel
,,,,,,,,,panelHeader
,,,,,,,,,preSelected
,,,,,,,,,price
,,,,,,,,,shortDescription
,,,,,,,,,state
,,,,,,,,,suggestedRetailPrice
,,,,,,,,,suggestedRetailPricePretax
,,,,,,,,,termMiles
,,,,,,,,,termMonths
,,,,,,,,,trackId
,,,,,,,,,userSelected
,,,,,,,,,vendor
,,,,,,,,,vin
App: products: triple care: click: TripleCARE none,,,0,0,Web,amplitude-js/3.4.0,2017-05-06T00:00:00+00:00,2017-07-06T00:00:00+00:00,appType
,,,,,,,,,buyNowVia
,,,,,,,,,category
,,,,,,,,,checkoutScraperVersion
,,,,,,,,,checkoutUiVersion
,,,,,,,,,dealer
,,,,,,,,,defaultTab
,,,,,,,,,fullDescription
,,,,,,,,,inStore
,,,,,,,,,isTestUser
,,,,,,,,,loanAppId
,,,,,,,,,marketingUrl
,,,,,,,,,name
,,,,,,,,,origin
,,,,,,,,,panel
,,,,,,,,,panelHeader
,,,,,,,,,preSelected
,,,,,,,,,price
,,,,,,,,,shortDescription
,,,,,,,,,state
,,,,,,,,,suggestedRetailPrice
,,,,,,,,,suggestedRetailPricePretax
,,,,,,,,,termMiles
,,,,,,,,,termMonths
,,,,,,,,,trackId
,,,,,,,,,userSelected
,,,,,,,,,vendor
,,,,,,,,,vin
App: products: triple care: click: continue,,,0,0,Web,amplitude-js/3.4.0,2017-05-06T00:00:00+00:00,2017-07-06T00:00:00+00:00,appType
,,,,,,,,,buyNowVia
,,,,,,,,,checkoutScraperVersion
,,,,,,,,,checkoutUiVersion
,,,,,,,,,dealer
,,,,,,,,,defaultTab
,,,,,,,,,inStore
,,,,,,,,,isTestUser
,,,,,,,,,loanAppId
,,,,,,,,,panel
,,,,,,,,,panelHeader
,,,,,,,,,price
,,,,,,,,,state
,,,,,,,,,trackId
,,,,,,,,,vin
App: products: triplecare: back,,,0,0,Web,http/1.0,2017-07-07T00:00:00+00:00,2017-12-15T00:19:18.881000+00:00,abTestGroup
,,,,,,,,,appType
,,,,,,,,,buyNowVia
,,,,,,,,,checkoutScraperVersion
,,,,,,,,,checkoutUiVersion
,,,,,,,,,consumerFlowVersion
,,,,,,,,,dealer
,,,,,,,,,defaultTab
,,,,,,,,,inStore
,,,,,,,,,isTestUser
,,,,,,,,,loanAppId
,,,,,,,,,panel
,,,,,,,,,panelHeader
,,,,,,,,,price
,,,,,,,,,state
,,,,,,,,,trackId
,,,,,,,,,vin
App: products: triplecare: click: Total Package Protection Plan,,,0,0,Web,http/1.0,2017-10-11T19:50:01.490000+00:00,2017-10-14T00:28:56.848000+00:00,appType
,,,,,,,,,buyNowVia
,,,,,,,,,category
,,,,,,,,,checkoutScraperVersion
,,,,,,,,,checkoutUiVersion
,,,,,,,,,dealer
,,,,,,,,,defaultTab
,,,,,,,,,fullDescription
,,,,,,,,,inStore
,,,,,,,,,isTestUser
,,,,,,,,,loanAppId
,,,,,,,,,marketingUrl
,,,,,,,,,name
,,,,,,,,,origin
,,,,,,,,,panel
,,,,,,,,,panelHeader
,,,,,,,,,preSelected
,,,,,,,,,price
,,,,,,,,,shortDescription
,,,,,,,,,state
,,,,,,,,,suggestedRetailPrice
,,,,,,,,,suggestedRetailPricePretax
,,,,,,,,,termMiles
,,,,,,,,,termMonths
,,,,,,,,,trackId
,,,,,,,,,userSelected
,,,,,,,,,vendor
,,,,,,,,,vin
App: products: triplecare: click: TripleCARE,,,0,0,Web,http/1.0,2017-07-07T00:00:00+00:00,2018-01-05T05:30:11.044000+00:00,appType
,,,,,,,,,buyNowVia
,,,,,,,,,category
,,,,,,,,,checkoutScraperVersion
,,,,,,,,,checkoutUiVersion
,,,,,,,,,consumerFlowVersion
,,,,,,,,,dealer
,,,,,,,,,defaultTab
,,,,,,,,,fullDescription
,,,,,,,,,inStore
,,,,,,,,,isTestUser
,,,,,,,,,loanAppId
,,,,,,,,,marketingUrl
,,,,,,,,,name
,,,,,,,,,origin
,,,,,,,,,panel
,,,,,,,,,panelHeader
,,,,,,,,,preSelected
,,,,,,,,,price
,,,,,,,,,shortDescription
,,,,,,,,,state
,,,,,,,,,suggestedRetailPrice
,,,,,,,,,suggestedRetailPricePretax
,,,,,,,,,termMiles
,,,,,,,,,termMonths
,,,,,,,,,trackId
,,,,,,,,,userSelected
,,,,,,,,,vendor
,,,,,,,,,vin
App: products: triplecare: click: TripleCARE none,,,6,0,Web,"amplitude-js/3.4.0, http/1.0",2017-06-06T00:00:00+00:00,2018-02-20T05:08:18.286009+00:00,abTestGroup
,,,,,,,,,appType
,,,,,,,,,buyNowVia
,,,,,,,,,category
,,,,,,,,,checkoutScraperVersion
,,,,,,,,,checkoutUiVersion
,,,,,,,,,consumerFlowVersion
,,,,,,,,,dealer
,,,,,,,,,defaultTab
,,,,,,,,,finePrintText
,,,,,,,,,fullDescription
,,,,,,,,,inStore
,,,,,,,,,isTestUser
,,,,,,,,,loanAppId
,,,,,,,,,marketingUrl
,,,,,,,,,name
,,,,,,,,,noProductSelected
,,,,,,,,,origin
,,,,,,,,,panel
,,,,,,,,,panelHeader
,,,,,,,,,preSelected
,,,,,,,,,price
,,,,,,,,,sampleContractUrl
,,,,,,,,,shortDescription
,,,,,,,,,state
,,,,,,,,,suggestedRetailPrice
,,,,,,,,,suggestedRetailPricePretax
,,,,,,,,,termMiles
,,,,,,,,,termMonths
,,,,,,,,,trackId
,,,,,,,,,userSelected
,,,,,,,,,vendor
,,,,,,,,,vin
